Month,Mean Temperature (C)_baseline,Mean Temperature (C)_2025,Mean Temperature (C)_delta,Maximum Temperature (C)_baseline,Maximum Temperature (C)_2025,Maximum Temperature (C)_delta,Minimum Temperature (C)_baseline,Minimum Temperature (C)_2025,Minimum Temperature (C)_delta,Total Snow (cm)_baseline,Total Snow (cm)_2025,Total Snow (cm)_delta,Total Precipitation (mm)_baseline,Total Precipitation (mm)_2025,Total Precipitation (mm)_delta,Snow on Ground (cm)_baseline,Snow on Ground (cm)_2025,Snow on Ground (cm)_delta
Jan,-9.38,-6.1,3.28,-4.58,-1.81,2.77,-14.15,-10.39,3.76,0.69,1.58,0.89,0.52,0.7,0.18,15.74,16.15,0.42
Feb,-8.68,-13.31,-4.63,-3.5,-8.26,-4.76,-13.84,-18.36,-4.53,0.54,0.23,-0.31,0.44,0.19,-0.25,17.05,21.0,3.95
Mar,-3.87,-1.59,2.28,1.33,3.01,1.68,-9.05,-6.19,2.85,0.76,2.39,1.63,0.56,1.29,0.73,15.91,7.59,-8.32
Apr,4.03,6.48,2.45,9.87,12.78,2.91,-1.83,0.16,1.99,0.58,0.0,-0.58,0.88,0.4,-0.47,4.42,5.13,0.71
May,11.04,13.45,2.41,17.44,20.04,2.6,4.6,6.85,2.25,0.16,0.0,-0.16,1.55,1.37,-0.18,0.26,0.0,-0.26
Jun,15.07,15.07,0.0,20.92,21.07,0.15,9.18,9.06,-0.12,0.0,0.0,0.0,2.4,2.54,0.14,0.0,0.0,-0.0
Jul,17.66,16.86,-0.81,23.61,22.93,-0.68,11.68,10.78,-0.9,0.0,0.0,0.0,2.91,1.44,-1.47,0.0,0.0,0.0
Aug,16.29,18.25,1.96,22.45,24.66,2.21,10.08,11.84,1.75,0.0,0.0,0.0,1.57,1.48,-0.09,0.0,0.0,0.0
Sep,11.55,15.3,3.75,17.78,23.06,5.28,5.29,7.53,2.24,0.05,0.0,-0.05,1.08,0.03,-1.04,0.07,0.0,-0.07
Oct,4.68,6.49,1.81,10.1,12.48,2.39,-0.76,0.49,1.25,0.31,0.04,-0.27,0.59,0.45,-0.14,0.98,0.0,-0.98
Nov,-3.5,-1.99,1.51,0.94,2.57,1.63,-7.94,-6.53,1.41,0.62,0.41,-0.21,0.61,0.48,-0.12,6.18,0.89,-5.29
Dec,-9.54,-13.85,-4.31,-4.97,-9.15,-4.19,-14.07,-18.53,-4.46,0.52,2.26,1.74,0.47,1.36,0.89,10.88,17.98,7.1
