,Maximum Temperature (C),Minimum Temperature (C),Mean Temperature (C),Total Rain (mm),Total Snow (cm),Total Precipitation (mm),Snow on Ground (cm)
count,56617.0,56679.0,56596.0,24991.0,24745.0,53492.0,25606.0
mean,9.26,-2.1,3.59,0.88,0.33,1.11,8.14
std,12.77,11.38,11.88,3.49,1.47,3.63,10.85
min,-34.4,-46.6,-40.2,0.0,0.0,0.0,0.0
5%,-14.2,-23.5,-18.4,0.0,0.0,0.0,0.0
25%,0.6,-9.2,-4.3,0.0,0.0,0.0,0.0
50%,10.3,-0.8,4.8,0.0,0.0,0.0,2.0
75%,20.0,7.2,13.6,0.0,0.0,0.5,15.0
95%,26.9,13.0,19.4,5.0,2.0,6.2,30.0
max,38.5,23.6,30.6,95.0,33.0,95.1,70.0
